ID,Section,Ref,Requirement,User,Inputs,Conditions,Expected,DataImpact,StateRules,TimeRules,PermissionRules,PolicyRules,CurrentBehavior,Frontend,API,Database,Worker,GapOrDiff,AcceptanceCriteria,TestSteps,ImplementationStatus,GitHubDeliveryStatus,Priority,IssueLink,BranchLink,PRLink,TestResult,CommitHash,Evidence
REQ-04-002,04 بيانات,04-2,فصل النص الأصلي عن المنظم وفهرس البحث,مطور,فحص المخطط,تخزين منفصل,النص الأصلي محفوظ منفصل,لا تأثير,لا يوجد,لا يوجد,لا يوجد,ArticleVersion has textContent and rawText; SearchIndex model موجود لكن غير مستخدم,prisma/schema.prisma,نعم,Prisma SearchIndex,لا يوجد,SearchIndex غير مستخدم فعليًا; rawText موجود لكن قد يختلط,فحص فصل النص الأصلي,قارن textContent و rawText,منفذ جزئيًا,مدمج في develop,متوسطة,,docs/2-audit-requirements,,,,,
REQ-05-001,05 تشريع,05-1,إنشاء يدوي للتشريع,مدير محتوى,نموذج إنشاء,تحقق من البيانات,تخزين دائم,تأثير على البيانات,تواريخ الإصدار والنفاذ,صلاحية إنشاء,سياسة فصل المعد,"نموذج إنشاء يعرض ""قريبًا""; لا يوجد إنشاء فعلي",نموذج إنشاء منفذ الآن (F03p1): POST /api/admin/legislations + حوار كامل مع تحقق وتدقيق; ينشأ بحالة draft,لا يوجد POST حقيقي,Legislation model,لا يوجد,"إنشاء التشريع غير منفذ; زر ""إضافة"" يعرض إشعار",إنشاء التشريع منفذ (F03p1 PR #27); إنشاء البنية والمواد منفصل,إنشاء مسودة تشريع من الواجهة يعمل; مواد ومصادر معلقة,اضغط إضافة تشريع جديد واملأ الحقول (F03p1 PR #27),منفذ جزئيًا (الإنشاء الأساسي),مدمج في develop (PR #27),حرجة,fix/26-legislation-creation,fix/26-legislation-creation,#27,curl 201 + agent-browser: حوار يفتح، عنصر يظهر,64955b1,docs/audit/RESUME.md
REQ-05-002,05 تشريع,05-2,القيم المرجعية قابلة للإدارة,مدير محتوى,إدارة الأنواع والجهات,منع حذف مرتبط,حفظ القيم,تأثير على الارتباطات,لا يوجد,صلاحيات إدارة,لا يوجد,الأنواع والجهات والموضوعات موجودة كبيانات; لا واجهة إدارة مستقلة,stats page filters,GET /api/filters,LegislationType Authority Subject,لا يوجد,لا توجد شاشة موحدة لإدارة القيم المرجعية,إدارة القيم المرجعية مع منع الحذف المرتبط,افتح إدارة القيم المرجعية,جزئي أو معيب,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-06-001,06 بنية,06-1,ديباجة وبنية مرنة (كتاب/جزء/باب/فصل/قسم/فرع),مدير محتوى,إنشاء البنية,شجرة مرنة,حفظ البنية,تأثير على ترتيب المواد,لا يوجد,صلاحية تحرير,لا يوجد,البنية معرفة في schema; شجرة قابلة للطي في العرض; لا إنشاء/تحرير فعلي,StructureNode model,GET /api/legislations/[slug],StructureNode,لا يوجد,إنشاء وتحرير البنية غير منفذ; العرض فقط,شجرة قابلة للإضافة والتحرير والترتيب,افتح تبويب الفهرس,جزئي أو معيب,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-06-002,06 بنية,06-2,ربط المواد بالبنية ونقلها جماعيًا,مدير محتوى,نقل مواد,عملية ذرية,حفظ الترتيب والرقم والنص,تأثير على ترتيب المواد,لا يوجد,صلاحية تحرير,منع الربط بين تشريعين,لا يوجد تنفيذ للربط الجماعي; العرض فقط,legislation-detail StructureTab,لا يوجد,Article nodeId,لا يوجد,الربط والنقل الجماعي غير منفذين,ربط ونقل وفك ربط جماعي ذري,افحص تبويب الفهرس,غير منفذ,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-07-001,07 زمن,07-1,نسخ زمنية لا تُمحى ونص نافذ في تاريخ,قارئ,اختيار تاريخ,فترات غير متداخلة,النص المناسب للتاريخ,لا تأثير على الأصل,فترات [بداية نهاية),لا يوجد,لا يوجد,effectiveDate picker يمرر للـ API; API يرجع النسخة المناسبة; لكن نافذة النسخ لا تعرض جميع النسخ,legislation-detail ArticlesTab,/api/legislations/[slug]?effectiveDate=,ArticleVersion,لا يوجد,نافذة النسخ تعرض نسخة واحدة فقط بدل جميع النسخ (F05),عرض جميع النسخ في النافذة ومقارنتها,افتح نافذة نسخ مادة 5,جزئي أو معيب,مدمج في develop,حرجة,,docs/2-audit-requirements,,,,,
REQ-07-002,07 زمن,07-2,تاريخ الاستعراض مستقل عن تاريخ النفاذ,قارئ,اختيار تاريخ استعراض,فصل البيانات,عدم تغيير بيانات التشريع,لا تأثير,فصل الاستعراض عن النفاذ,لا يوجد,لا يوجد,"اختيار تاريخ يغير حقل ""تاريخ النفاذ"" في الرأس (F06)",legislation-detail header,/api/legislations/[slug]?effectiveDate=,لا يوجد,لا يوجد,تاريخ الاستعراض يختلط بتاريخ النفاذ,فصل تاريخ الاستعراض في حقل مستقل,اختر تاريخًا وتحقق من بيانات التشريع,مخالف للفهم المطلوب,مدمج في develop,حرجة,,docs/2-audit-requirements,,,,,
REQ-07-003,07 زمن,07-3,تعديل مستقبلي لا يغير النص الحالي مبكرًا,مدير محتوى,نشر تعديل بتاريخ مستقبلي,حفظ موعد الأثر,عدم تغير النص الحالي,لا تأثير مبكر,تأخر التحديث للحلول,لا يوجد,لا يوجد,ArticleVersion has isFuture; نسخة مستقبلية مزروعة; لكن لا تحديث تلقائي عند الحلول,legislation-detail,API supports effectiveDate,ArticleVersion isFuture,لا يوجد,التعديل المستقبلي محفوظ لكن لا يوجد عامل يحدّث القراءة تلقائيًا,فحص التعديل المستقبلي,افحص مادة 7 بنسخة مستقبلية,منفذ جزئيًا,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-08-001,08 تعديل,08-1,وثيقة تعديل متعددة المواد بعمليات مرتبة,مدير محتوى,إنشاء وثيقة,عمليات مرتبة,آثار ونسخ محفوظة,تأثير على نسخ المواد,ترتيب التطبيق,صلاحية إنشاء ومراجعة,فصل المنشئ عن المراجع,"وثائق التعديل موجودة كبيانات; عمليات موجودة; لكن إنشاء جديد يعرض ""قريبًا""; لا 200 عملية",إنشاء وثيقة تعديل منفذ الآن (F03p2): POST /api/admin/amendments + حوار مع عمليات متعددة مرتبة في معاملة; الحالة الافتراضية draft,GET /api/admin/amendments,AmendmentDocument AmendmentOperation,لا يوجد,إنشاء وثيقة تعديل جديد غير منفذ; عينة 3 وثائق فقط لا 200,إنشاء الوثيقة + العمليات منفذ (F03p2 PR #35); التطبيق الذري للعمليات (REQ-08-003) معلق,إنشاء وثيقة بعمليات متعددة ومراجعة وتطبيق ذري; التطبيق معلق,اضغط وثيقة تعديل جديدة واملأ العمليات (F03p2 PR #35),منفذ جزئيًا (الإنشاء),مدمج في develop (PR #35),حرجة,fix/34-amendment-creation,fix/34-amendment-creation,#35,curl 201 + agent-browser: حوار يفتح مع عمليات,452c562,docs/audit/RESUME.md
REQ-08-002,08 تعديل,08-2,العمليات الأربع: تعديل وإضافة وإلغاء واستبدال عبارات,مدير محتوى,إنشاء عمليات,أنواع عمليات واضحة,آثار لكل نوع,تأثير على المواد والنسخ,ترتيب الأثر,صلاحيات منفصلة,فصل المنشئ عن المراجع,الأنواع معرفة في schema; عمليات مزروعة; لكن لا إنشاء فعلي,"الأنواع السبعة معرفة (replace, add, delete_part, repeal, renumber, correct, substitute_phrase); إنشاء عمليات منفذ (F03p2); لا إنشاء فعلي سابقًا الآن منفذ",GET /api/admin/amendments,AmendmentOperation,لا يوجد,إنشاء عمليات غير منفذ; الأنواع معرفة فقط,إنشاء عمليات بأنواعها منفذ (F03p2); التطبيق الذري معلق,إنشاء عمليات بأنواعها الأربعة+ منفذ (F03p2 7 أنواع),افحص أنواع العمليات في الحوار (F03p2 PR #35),منفذ (الأنواع السبعة + الإنشاء),مدمج في develop (PR #35),عالية,fix/34-amendment-creation,fix/34-amendment-creation,#35,agent-browser: قائمة 7 أنواع عمليات,452c562,docs/audit/RESUME.md
REQ-08-003,08 تعديل,08-3,ذرية ومنع تكرار تطبيق الوثيقة,مطور,إعادة تطبيق,رفض التكرار,لا تطبيق جزئي,تأثير على النسخ,ترتيب العمليات,لا يوجد,لا يوجد,لا يوجد تنفيذ للتطبيق الذري; لا منع تكرار,لا يوجد,لا يوجد,AmendmentDocument applied flag,لا يوجد,التطبيق الذري ومنع التكرار غير منفذين,تطبيق ذري ورفض إعادة التطبيق,حاول إعادة تطبيق وثيقة,غير منفذ,مدمج في develop,حرجة,,docs/2-audit-requirements,,,,,
REQ-09-001,09 عبارات,09-1,استبدال عبارات ضمن نطاق محدد,مدير محتوى,تحديد عبارة ونطاق,معاينة الأعداد,استبدال ذري,تأثير على المواد,لا يوجد,لا يوجد,لا يوجد,لا يوجد تنفيذ لاستبدال العبارات,لا يوجد,لا يوجد,لا يوجد,لا يوجد,استبدال العبارات غير منفذ بالكامل,استبدال عبارة في موضع أو جميع المواضع,ابحث عن ميزة استبدال العبارات,غير منفذ,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-10-001,10 تصحيح,10-1,مسودة تصحيح للديباجة أو المادة أو الملحق,مدير محتوى,إنشاء مسودة,حفظ الأصل والبصمة,بقاء المنشور حتى النشر,تأثير على النسخ,تاريخ الأثر,صلاحيات منفصلة,مسودة واحدة لكل هدف,CorrectionDraft model موجود; مسودات مزروعة; إنشاء جديد موجود في corrections-section,corrections-section,POST /api/admin/corrections,CorrectionDraft,لا يوجد,الإنشاء يعمل لكن مسار الاعتماد والنشر غير مكتمل,إنشاء واعتماد ونشر تصحيح,اختبر corrections-section,منفذ جزئيًا,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-11-001,11 ملاحق,11-1,أنواع الملاحق الثمانية وصيغ المحتوى,مدير محتوى,إنشاء ملحق,أنواع وطرق محتوى,حفظ صحيح,تأثير على المحتوى,إصدارات وفترات,صلاحيات العرض والإنشاء,إعادة للمسودة عند التغيير,الأنواع معرفة في schema; ملاحق مزروعة; جدول منظم محفوظ; لكن التنزيل لا يعمل (F08),"الأنواع معرفة في schema; ملاحق مزروعة; جدول منظم محفوظ; التنزيل يعمل الآن (F08: text→TXT, table→CSV, file→وصفي)",GET /api/legislations/[slug]/attachments,Attachment AttachmentVersion,لا يوجد,التنزيل لا يعمل; أنواع الملاحق موجودة لكن لا إنشاء جديد,الأنواع موجودة والتنزيل يعمل; لا إنشاء جديد من الواجهة بعد (F03),تنزيل ملحق يعمل وعرض جدول مع CSV; إنشاء جديد معلق لـ F03,انقر تنزيل على ملحق (F08 PR #15 commit 731ca21),منفذ جزئيًا (التنزيل يعمل),مدمج في develop (PR #15),عالية,fix/14-attachment-download,fix/14-attachment-download,#15,"agent-browser: زر تنزيل رابط صحيح, curl 200",731ca21,docs/audit/RESUME.md
REQ-12-001,12 علاقات,12-1,علاقات قانونية موجهة بأنواعها السبعة,مدير محتوى,إنشاء علاقة,مسودة ثم مراجعة ونشر,عرض العلاقات المنشورة فقط,لا تأثير على النص,تاريخ أثر,إتاحة العلاقات المنشورة,فصل العلاقة عن التقارب,العلاقات معرفة ومزروعة; العرض يعمل; لكن لا إنشاء/مراجعة/نشر جديد,legislation-detail RelationsTab,GET /api/legislations/[slug]/relations,Relation,لا يوجد,إنشاء ومراجعة ونشر العلاقات غير منفذ,إنشاء علاقة ومراجعتها ونشرها,افتح تبويب العلاقات,جزئي أو معيب,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-13-001,13 مصادر,13-1,مصادر أصلية مع بصمات ودرجات تحقق,مدير محتوى,رفع مصدر,بصمة وحجم ونوع,ربط مصادر متعددة,تأثير على الملفات,لا يوجد,صلاحية رفع وتحقق,حماية المصادر المشتركة,"Source model موجود; لكن لا مصادر مزروعة فعليًا; شارة ""متحقق"" بدون مصادر (F09)",legislation-detail SourcesTab,GET /api/legislations/[slug],Source SourceLegislation,لا يوجد,"لا توجد مصادر مسجلة رغم شارة ""متحقق""",ربط مصادر بمستوى تحقق حقيقي,افتح تبويب المصادر,مخالف للفهم المطلوب,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-14-001,14 استيراد,14-1,جميع الصيغ المطلوبة TXT MD DOCX PDF صور CSV XLSX,مدير محتوى,رفع ملف,تحقق الامتداد والتوقيع,استخراج صحيح,حفظ الأصل والنص الخام,إلغاء عند الحذف,رفع مصرح,سياسة مراجعة OCR,نموذج رفع موجود; أنواع ناقصة; لا OCR; لا TXT+PDF معًا,"نموذج رفع موجود; أنواع كاملة (txt,md,pdf,doc,docx,xls,xlsx,csv,json,html,صور); تعدد ملفات; استخراج نصي للصيغ النصية; لا OCR; لا معالجة خلفية",POST /api/admin/imports,ImportOperation,لا يوجد,أنواع الملفات ناقصة; معالجة خلفية غير موجودة,الأنواع والتعدد والاستخراج النصي منفذة (F10); OCR ومعالجة خلفية غير منفذين (قيود بيئية),رفع كل صيغة وتعدد ونجاح الاستخراج النصي; OCR موثق كقيد,ارفع TXT وPDF وDOCX وXLSX وصورة (F10 PR #17),منفذ جزئيًا (الأنواع والتعدد والاستخراج النصي),مدمج في develop (PR #17),عالية,fix/16-import-file-types,fix/16-import-file-types,#17,agent-browser: accept كامل + multiple=true,e581563,docs/audit/RESUME.md
REQ-15-001,15 دورة,15-1,دورة المحتوى: وارد→مسودة→مراجعة→اعتماد→نشر→أرشفة,مدير محتوى,انتقالات الحالة,انتقالات خادمية,نشر المواد المستحقة,تأثير على الحالة,تواريخ النفاذ,صلاحيات انتقال منفصلة,فصل الواجبات,الحالات معرفة في schema; الانتقالات مذكورة; لكن لا انتقالات خادمية منفذة,لا يوجد,لا يوجد,Legislation workflowStatus,لا يوجد,الانتقالات الخادمية غير منفذة; لا نشر للمواد المستحقة,انتقال خادمي مسبب ونشر المواد المستحقة,حاول نشر تشريع,غير منفذ,مدمج في develop,حرجة,,docs/2-audit-requirements,,,,,
REQ-16-001,16 أدوار,16-1,صلاحيات تفصيلية مورد.إجراء,مطور,فحص الصلاحيات,إنفاذ خادمي,رفض غير المصرح,تدقيق محمي,إبطال الجلسات,سقف السلطة,المنع يتقدم,الصلاحيات معرفة في schema; الأدوار مزروعة; لكن لا إنفاذ خادمي,الصلاحيات معرفة في schema; الأدوار مزروعة; إنفاذ خادمي منفذ الآن عبر middleware على /api/admin/* (F14: كوكي جلسة موقّع مطلوب),جميع API مفتوحة,Permission RolePermission PermissionGrant,لا يوجد,لا يوجد إنفاذ صلاحيات على API; الإدارة مفتوحة,إنفاذ خادمي للوصول منفذ (F14); إنفاذ صلاحيات تفصيلية مورد.إجراء غير منفذ,طلب غير مصرح يرفض بـ401 (F14); صلاحيات تفصيلية معلقة,أرسل طلبا لـ/api/admin بدون كوكي (F14 PR #22+#23),منفذ جزئيًا (بوابة الوصول),مدمج في develop (PR #22+#23),حرجة,fix/21-admin-auth-gate,fix/21-admin-auth-gate,#22+#23,curl 401 بدون كوكي; agent-browser دخول ناجح,097d562,docs/audit/RESUME.md
REQ-17-001,17 سياسات,17-1,سياسات قابلة للإدارة مع استثناءات,مدير نظام,تفعيل/تعطيل,إنفاذ خادمي,سجل القرار,لا يوجد,لا يوجد,إدارة الاستثناءات منفصلة,الاستثناء لا يمنح صلاحية,"السياسات معرفة ومزروعة; تفعيل/تعطيل يعمل (toast); لكن ""إدارة الاستثناءات"" تعرض ""قريبًا""",السياسات معرفة ومزروعة; تفعيل/تعطيل يعمل; إدارة الاستثناءات منفذة الآن (F03p3): GET/POST/DELETE + حوار + AuditLog,لا يوجد,OperationPolicy PolicyException,لا يوجد,إدارة الاستثناءات غير منفذة; الإنفاذ الخادمي غائب,إدارة الاستثناءات منفذة (F03p3 PR #39+#40); الإنفاذ الخادمي للسياسات غائب,تفعيل سياسة وإدارة استثناء منفذ (F03p3); الإنفاذ الخادمي معلق,انقر إدارة الاستثناءات (F03p3 PR #39+#40),منفذ جزئيًا (إدارة الاستثناءات),مدمج في develop (PR #39+#40),عالية,fix/38-policy-exceptions,fix/38-policy-exceptions,#39+#40,curl GET/POST/DELETE 200/201; agent-browser: حوار يفتح,6f00243,docs/audit/RESUME.md
REQ-18-001,18 حذف,18-1,حذف مترابط وسلة 30 يومًا واستعادة,مدير محتوى,حذف تشريع,معاينة الأثر,استعادة ذرية,تأثير على التوابع والملفات,انتهاء المهلة,صلاحيات الحذف,حماية المنشور والتاريخي,DeletionBatch model موجود; سلة مزروعة; لكن لا حذف فعلي من الواجهة; لا معاينة أثر,recycle-section,GET /api/admin/recycle,DeletionBatch DeletionBatchItem,لا يوجد,الحذف الفعلي غير منفذ من الواجهة; السلة للعرض فقط,حذف واستعادة وإتلاف,حاول حذف تشريع,جزئي أو معيب,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
REQ-19-001,19 صفحات,19-1,صفحات عامة بروابط مستقرة,قارئ,تنقل,روابط ثابتة,محتوى مدار,لا تأثير,لا يوجد,لا يوجد,لا يوجد,الصفحات العامة موجودة; لكن الروابط غير مستقرة (URL يبقى /) (F04),مسار /l/[slug] ديناميكي منفذ (F04); AppShell مشترك; مشاركة ونسخ يولّدان روابط /l/<slug> مستقرة; تنقل داخلي سلس,GET /api/pages,PublicPage PublicPageSection,لا يوجد,الروابط غير مستقرة; URL لا يتغير عند التنقل,روابط مستقرة للتشريعات منفذة (F04); روابط البحث وصفحات الأخبار معلقة,رابط /l/<slug> يفتح التشريع مباشرة (F04),افتح /l/constitution-2001 مباشرة (F04 PR #31),منفذ (روابط التشريعات),مدمج في develop (PR #31),حرجة,fix/30-stable-legislation-urls,fix/30-stable-legislation-urls,#31,agent-browser: /l/constitution-2001 يحمّل التشريع + مشاركة صحيحة,f05c27e,docs/audit/RESUME.md
REQ-20-001,20 بحث,20-1,بحث عربي متقدم بأنماط وفلاتر وتجميعات,قارئ,عبارة وفلاتر,تطبيع عربي,نتائج ومقتطفات وروابط مواضع,لا تأثير,تاريخ نافذ,إتاحة المنشور,عدم تسرب المسودات,البحث يعمل مع أنماط وفلاتر وتجميعات; CSV يعمل; لكن الروابط غير مستقرة,البحث يعمل مع أنماط وفلاتر وتجميعات; روابط التشريعات في النتائج غير مستقرة (F04 عالج روابط التشريعات /l/[slug] لكن نتائج البحث قد لا تستخدمها بعد),/api/search,Prisma queries,لا يوجد,البحث جيد لكن روابط النتائج غير مستقرة,روابط التشريعات مستقرة (F04); نتائج البحث لا تستخدم روابط /l/[slug] بعد,بحث بكل الأنماط وفلاتر وتجميعات; روابط /l/[slug] للنتائج معلقة,ابحث عن العمل وتحقق (F04 عالج روابط التشريعات),منفذ جزئيًا (البحث يعمل، الروابط معلقة),مدمج في develop (PR #31 للروابط),عالية,fix/30-stable-legislation-urls,fix/30-stable-legislation-urls,#31,agent-browser: روابط التشريعات مستقرة,f05c27e,docs/audit/RESUME.md
REQ-21-001,21 باحث,21-1,حساب باحث بمفضلة وبحوث وملاحظات,قارئ مسجل,حفظ وقراءة,ملكية خادمية,عدم تسرب خاص,لا تأثير,سياق زمني,فرض الملكية,لا يوجد,الحساب يعمل; المفضلة والبحوث والملاحظات تعمل; لكن الحساب تجريبي (reader) لا مصادقة,account-view,/api/account/*,Favorite SavedSearch Note Participation,لا يوجد,لا مصادقة فعلية; الحساب ثابت; الملكية غير مفروضة خادميًا,مصادقة وملكية خادمية,حاول الوصول لملاحظات مستخدم آخر,جزئي أو معيب,مدمج في develop,عالية,,docs/2-audit-requirements,,,,,
